step,trajectory_id,quality,shaped_reward,edit_distance,valid_adjustment_set
1,f74c5957155e4aa882d2fa6ae864f581,0.8571428571428571,0.8571428571428571,2,False
1,5c1f69991763447eb301a29dd2e20f9c,1.0,1.0,0,True
1,0951ba93698347febe86e8656f54c747,1.0,1.0,0,True
1,51ddaa6c5ed64cd6b5ec4260ad11bf17,1.0,1.0,0,True
2,ddfe093e269849d9a3dd083aa3f6166c,0.7857142857142857,0.7857142857142857,3,False
2,469293765954457da31f946e7dcb0de4,0.7857142857142857,0.7857142857142857,3,False
2,fbed03f783f8471f9e3228fc9b0ff09e,0.8571428571428571,0.8571428571428571,2,False
2,66c82139b42b4946a6b46156da37d0a5,0.7857142857142857,0.7857142857142857,3,False
